"","X","region","minlong","maxlong","minlat","maxlat","state"
"1",1,"alabama",-87.971214,-85.409052,30.721132,34.507712,"AL"
"2",2,"alaska",-113.83458069,-110.77363492,25.88151168,29.59003994,"AK"
"3",3,"arizona",-114.313613,-109.545223,31.832502,36.503875,"AZ"
"4",4,"arkansas",-94.117919,-91.186924,33.504106,35.999496,"AR"
"5",5,"california",-120.909591,-115.631489,34.284156,38.009518,"CA"
"6",6,"colorado",-108.560062,-102.54224,37.492426,40.502957,"CO"
"7",7,"connecticut",-73.227775,-72.297683,41.485171,41.549638,"CT"
"8",8,"delaware",-75.288359,-75.548939,38.951263,39.337286,"DE"
"9",9,"district of columbia",-76.6199,-77.409395,39.291513,38.49511,NA
"10",10,"florida",-82.634938,-80.531362,26.296468,29.250888,"FL"
"11",11,"georgia",-85.005165,-81.690549,30.958035,33.500771,"GA"
"12",12,"hawaii",-105.42417819,-101.64625375,21.05620538,23.6078291,"HI"
"13",13,"idaho",-116.714889,-111.543924,42.363057,44.300912,"ID"
"14",14,"illinois",-90.512974,-87.895211,38.470298,42.008302,"IL"
"15",15,"indiana",-87.371449,-85.085111,38.776843,41.260592,"IN"
"16",16,"iowa",-95.939704,-91.640613,40.878264,43.100945,"IA"
"17",17,"kansas",-101.551744,-95.089933,37.493083,39.503162,"KS"
"18",18,"kentucky",-87.570071,-82.768297,36.697129,37.897458,"KY"
"19",19,"louisiana",-93.543147,-89.817017,29.675011,31.019372,"LA"
"20",20,"maine",-70.584334,-67.549895,44.059621,46.759686,"ME"
"21",21,"maryland",-78.987651,-75.548939,38.411717,39.222775,"MD"
"22",22,"massachusetts",-73.008142,-70.428261,41.739353,42.38653,"MA"
"23",23,"michigan",-86.418136,-82.915937,41.696089,45.690975,"MI"
"24",24,"minnesota",-96.334005,-92.489226,43.999356,48.884358,"MN"
"25",25,"mississippi",-90.936942,-88.597888,31.873943,33.996052,"MS"
"26",26,"missouri",-94.423549,-91.100766,36.995812,40.36364,"MO"
"27",27,"montana",-114.299193,-104.540128,45.624357,48.750912,"MT"
"28",28,"nebraska",-103.553249,-96.30829,40.799998,42.625585,"NE"
"29",29,"nevada",-119.605746,-114.541723,38.502085,41.600252,"NV"
"30",30,"new hampshire",-72.056214,-71.203936,43.19699,44.805293,"NH"
"31",31,"new jersey",-75.059446,-74.393979,39.428519,40.857423,"NJ"
"32",32,"new mexico",-108.550044,-103.501964,31.832502,36.500104,"NM"
"33",33,"new york",-76.761951,-73.357494,42.002303,44.26585,"NY"
"34",34,"north carolina",-80.821869,-76.958659,35.044517,36.238117,"NC"
"35",35,"north dakota",-103.5489,-97.304835,46.185054,48.500687,"ND"
"36",36,"ohio",-84.220157,-81.018991,39.204338,41.577523,"OH"
"37",37,"oklahoma",-100.002518,-94.631215,34.415995,36.700104,"OK"
"38",38,"oregon",-124.052441,-117.163635,42.492671,45.469531,"OR"
"39",39,"pennsylvania",-80.019425,-75.191129,40.220018,41.76986,"PA"
"40",40,"rhode island",-71.362772,-71.62057,41.653239,41.518798,"RI"
"41",41,"south carolina",-81.751293,-79.341087,32.8346,34.510542,"SC"
"42",42,"south dakota",-103.557698,-96.936589,43.279846,45.44545,"SD"
"43",43,"tennessee",-89.059297,-83.3969,35.083375,36.378118,"TN"
"44",44,"texas",-102.377808,-94.830936,30.356459,33.250397,"TX"
"45",45,"utah",-113.552718,-109.541723,37.499084,41.001567,"UT"
"46",46,"vermont",-72.937429,-71.964555,43.226853,44.513637,"VT"
"47",47,"virginia",-80.675413,-76.242266,36.640738,37.766012,"VA"
"48",48,"washington",-123.233174,-117.015989,46.043841,48.302357,"WA"
"49",49,"west virginia",-82.144739,-79.819029,37.702467,39.138801,"WV"
"50",50,"wisconsin",-91.888114,-87.805415,43.39192,46.475941,"WI"
"51",51,"wyoming",-110.556888,-104.55216,41.494746,44.505904,"WY"
