"","region","lon1","lat1","lon","lat"
"1","connecticut",-70.03411,36.910836,-72.7278626969402,41.6220390330646
"2","delaware",-73.03411,33.91083,-75.5005131527775,38.994512443048
"3","district of columbia",-73.03411,30.91083,-77.0166347509255,38.9052442762834
"4","maryland",-73.03411,32.410836,-76.7622525419676,39.0331430041144
"5","massachusetts",-70.03411,39.910836,-71.8487339812257,42.3056474617928
"6","new hampshire",-72,48.5,-71.575035748606,43.6984831479392
"7","new jersey",-73.03411,35.41083,-74.6600812134592,40.1919817582859
"8","rhode island",-70.03411,38.410836,-71.5495032388602,41.6731680788864
"9","vermont",-73.5,50,-72.6605031071394,44.082474866907
